Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
MYH15	22	30	52	13.57	Disease
KIAA2022	4	48	52	13.57	Disease
FBXL19	16	36	52	13.57	Disease
VGLL1	14	38	52	13.57	Disease
SLC35F3	14	36	50	13.05	Disease
PGAM5	16	34	50	13.05	Disease
TMEM53	10	40	50	13.05	Disease
TSPAN33	16	34	50	13.05	Disease
SMPD1	16	34	50	13.05	Disease
LOC283267	8	42	50	13.05	Disease
KCNQ5	14	36	50	13.05	Normal
EBF1	10	40	50	13.05	Normal
COL16A1	2	48	50	13.05	Normal
LCE3D	16	34	50	13.05	Normal
LOC149478	4	46	50	13.05	Normal
OAF	16	34	50	13.05	Disease
	4	46	50	13.05	Normal
LOC339803	10	40	50	13.05	Disease
C11orf52	8	42	50	13.05	Disease
AKNA	14	36	50	13.05	Disease
RELB	32	18	50	13.05	Disease
FHOD3	42	8	50	13.05	Disease
ZNF192	28	22	50	13.05	Disease
LOC283140	16	34	50	13.05	Disease
LOC286272	8	42	50	13.05	Disease
AHDC1	26	24	50	13.05	Disease
AGBL2	6	44	50	13.05	Disease
ZNF225	20	30	50	13.05	Disease
TYRO3	30	20	50	13.05	Disease
C1orf172	12	38	50	13.05	Disease
TDRD9	12	38	50	13.05	Disease
IL17RB	22	28	50	13.05	Disease
NEFL	6	42	48	12.52	Normal
PCDH1	6	42	48	12.52	Normal
NCKAP5	6	42	48	12.52	Normal
hCG_1646157	12	36	48	12.52	Disease
BDKRB1	26	22	48	12.52	Normal
RNF180	2	46	48	12.52	Normal
OLFML2B	4	44	48	12.52	Normal
TUB	28	20	48	12.52	Disease
CLIC6	6	42	48	12.52	Disease
TMEM25	12	36	48	12.52	Disease
LOC283567	16	32	48	12.52	Disease
CD70	44	4	48	12.52	Disease
HOOK2	10	38	48	12.52	Disease
SLAIN1	8	40	48	12.52	Disease
FLJ39051	16	32	48	12.52	Disease
LOC729970	6	42	48	12.52	Disease
TMEM125	8	40	48	12.52	Disease
	24	24	48	12.52	Disease
GRIN2D	34	14	48	12.52	Disease
SLC47A1	28	20	48	12.52	Disease
TFEB	4	44	48	12.52	Disease
MTSS1L	36	12	48	12.52	Disease
ZNF467	28	18	46	12.0	Disease
RIMS2	10	36	46	12.0	Disease
USP49	40	6	46	12.0	Disease
C9orf150	4	42	46	12.0	Disease
C1orf66	28	18	46	12.0	Disease
RCN3	26	20	46	12.0	Disease
ELAVL2	34	12	46	12.0	Disease
DLL3	42	4	46	12.0	Disease
DENND3	40	6	46	12.0	Disease
NUDT16	6	40	46	12.0	Disease
KIAA1543	12	34	46	12.0	Disease
ARMC5	6	40	46	12.0	Disease
TBC1D30	28	18	46	12.0	Disease
C1orf51	12	34	46	12.0	Disease
ART1	22	24	46	12.0	Disease
ZFAT	16	30	46	12.0	Disease
PLXNC1	34	12	46	12.0	Normal
EPHA1	12	34	46	12.0	Normal
STON1	32	14	46	12.0	Normal
EXD3	8	38	46	12.0	Normal
TSIX	16	30	46	12.0	Normal
ALDH4A1	6	40	46	12.0	Normal
GHR	40	6	46	12.0	Normal
PRKD1	2	44	46	12.0	Normal
RNF2	26	18	44	11.48	Disease
OXNAD1	16	28	44	11.48	Disease
WHAMML2	12	32	44	11.48	Disease
GHRL	4	40	44	11.48	Disease
TMEM139	16	28	44	11.48	Disease
LOC731884	10	34	44	11.48	Disease
RPUSD2	36	8	44	11.48	Disease
C8orf58	6	38	44	11.48	Disease
HPYR1	2	42	44	11.48	Disease
YAF2	18	26	44	11.48	Disease
IRF5	14	30	44	11.48	Disease
ANUBL1	16	28	44	11.48	Disease
PDGFB	32	12	44	11.48	Disease
POU4F1	2	42	44	11.48	Disease
EMR2	26	18	44	11.48	Disease
NAIF1	16	28	44	11.48	Disease
HMHA1	28	16	44	11.48	Disease
EPN1	40	4	44	11.48	Disease
SPOCK1	26	18	44	11.48	Disease
ASPHD1	38	6	44	11.48	Disease
SEMA3A	40	4	44	11.48	Disease
LOC649305	2	42	44	11.48	Disease
ZNF397OS	8	36	44	11.48	Disease
ANKRD44	2	42	44	11.48	Normal
LOC100130476	16	28	44	11.48	Normal
SORBS1	22	22	44	11.48	Normal
TPRG1	16	28	44	11.48	Normal
C14orf128	14	28	42	10.95	Disease
NVL	40	2	42	10.95	Disease
TMEM170B	12	30	42	10.95	Disease
MAP9	10	32	42	10.95	Disease
TOX2	12	30	42	10.95	Disease
LOC645212	16	26	42	10.95	Disease
FANCB	10	32	42	10.95	Disease
FAM122C	2	40	42	10.95	Disease
MRVI1	8	34	42	10.95	Disease
HSD17B1	36	6	42	10.95	Disease
HLA-DPB2	10	32	42	10.95	Disease
	6	36	42	10.95	Normal
KIF13A	6	36	42	10.95	Normal
NFASC	18	24	42	10.95	Normal
ANGPT1	16	26	42	10.95	Normal
C14orf139	14	28	42	10.95	Normal
OR12D2	6	36	42	10.95	Normal
TMEM220	6	34	40	10.43	Normal
MUSK	8	32	40	10.43	Normal
LUM	32	8	40	10.43	Normal
GDPD3	28	12	40	10.43	Normal
BOLL	14	26	40	10.43	Normal
GCNT7	2	38	40	10.43	Normal
IL7R	32	8	40	10.43	Normal
GK	32	8	40	10.43	Disease
LRP4	34	6	40	10.43	Disease
C16orf79	14	26	40	10.43	Disease
TSSC4	26	14	40	10.43	Disease
LOC285401	2	38	40	10.43	Disease
FLJ35220	16	24	40	10.43	Disease
C10orf28	34	6	40	10.43	Disease
DSCR6	32	8	40	10.43	Disease
CROCC	32	8	40	10.43	Disease
TUBB2B	8	32	40	10.43	Disease
PET112L	34	6	40	10.43	Disease
HTT	34	6	40	10.43	Disease
KISS1R	16	24	40	10.43	Disease
VIL1	18	22	40	10.43	Disease
LOC340947	8	32	40	10.43	Disease
SRPX2	10	30	40	10.43	Disease
FOXR2	4	34	38	9.9	Disease
SLC22A4	30	8	38	9.9	Disease
PDK4	24	14	38	9.9	Disease
EML6	12	26	38	9.9	Disease
SBK1	6	32	38	9.9	Disease
PPFIA3	10	28	38	9.9	Disease
TTLL1	32	6	38	9.9	Disease
TRPM2	32	6	38	9.9	Disease
PELI3	8	30	38	9.9	Disease
LOC100131564	12	26	38	9.9	Disease
SV2C	26	12	38	9.9	Disease
C7orf31	16	22	38	9.9	Disease
RASSF9	32	6	38	9.9	Disease
BTC	4	34	38	9.9	Disease
PABPC4L	12	26	38	9.9	Disease
TNFSF15	2	36	38	9.9	Disease
QPRT	36	2	38	9.9	Disease
FAM55A	6	32	38	9.9	Normal
ENTPD1	30	8	38	9.9	Normal
A2ML1	16	22	38	9.9	Normal
ABP1	2	36	38	9.9	Normal
ZNF137	2	36	38	9.9	Normal
C10orf85	2	34	36	9.38	Disease
TUBA4B	20	16	36	9.38	Disease
ZNF829	8	28	36	9.38	Disease
CLIP2	30	6	36	9.38	Disease
RAB11FIP4	16	20	36	9.38	Disease
ACTN2	26	10	36	9.38	Disease
FLJ30064	6	30	36	9.38	Disease
	24	12	36	9.38	Disease
TOP1MT	8	28	36	9.38	Disease
DEF6	6	30	36	9.38	Disease
TRPV3	12	24	36	9.38	Disease
FOXE1	2	34	36	9.38	Disease
HIATL2	16	20	36	9.38	Disease
FLJ32810	16	20	36	9.38	Disease
TAGAP	2	34	36	9.38	Normal
BZRAP1	4	32	36	9.38	Normal
MAGEH1	18	18	36	9.38	Normal
MGC24103	12	24	36	9.38	Normal
GLRA1	6	30	36	9.38	Normal
FAM83F	10	26	36	9.38	Normal
SYT11	22	14	36	9.38	Normal
IGL@	28	8	36	9.38	Normal
VCAM1	32	4	36	9.38	Normal
GLT8D4	16	20	36	9.38	Disease
AMT	4	32	36	9.38	Disease
ABCB6	28	8	36	9.38	Disease
UPB1	28	8	36	9.38	Disease
MKX	16	20	36	9.38	Disease
TBXA2R	6	30	36	9.38	Disease
RSPO3	16	20	36	9.38	Disease
PRAMEF2	2	32	34	8.86	Disease
MPEG1	10	24	34	8.86	Normal
B4GALNT3	14	20	34	8.86	Normal
DUOXA1	16	18	34	8.86	Normal
LYNX1	6	28	34	8.86	Normal
FLJ25076	2	32	34	8.86	Normal
FLG	20	14	34	8.86	Normal
GPX7	20	14	34	8.86	Disease
TMEM98	16	18	34	8.86	Disease
CARD6	4	30	34	8.86	Disease
SRCRB4D	16	18	34	8.86	Disease
HOXB2	26	8	34	8.86	Disease
RASA4	2	32	34	8.86	Disease
LOC283177	2	32	34	8.86	Disease
LOC100127980	2	32	34	8.86	Disease
NMNAT2	16	18	34	8.86	Disease
TMEM117	14	20	34	8.86	Disease
NUDT22	16	18	34	8.86	Disease
GABRG3	12	22	34	8.86	Disease
C4orf36	16	16	32	8.33	Disease
CCDC62	2	30	32	8.33	Normal
HIST1H3E	4	28	32	8.33	Disease
KIF1C	30	2	32	8.33	Disease
C1orf21	8	24	32	8.33	Disease
ATXN7L1	30	2	32	8.33	Disease
MRPL54	16	16	32	8.33	Disease
PVRL4	6	26	32	8.33	Disease
CLDN19	6	26	32	8.33	Disease
GARNL3	10	22	32	8.33	Disease
CTSLL3	16	16	32	8.33	Disease
LOC729683	16	16	32	8.33	Normal
	22	10	32	8.33	Disease
GRHL3	16	16	32	8.33	Normal
JAK2	16	16	32	8.33	Normal
LOC339524	10	22	32	8.33	Normal
ZSWIM5	4	28	32	8.33	Normal
DAPK2	4	28	32	8.33	Normal
LOC284373	12	20	32	8.33	Normal
RBPMS2	16	14	30	7.81	Disease
HR	4	26	30	7.81	Disease
LOC257152	2	28	30	7.81	Disease
EVI5L	2	28	30	7.81	Disease
RHBDL2	6	24	30	7.81	Disease
RLN2	18	12	30	7.81	Disease
LOC284408	2	28	30	7.81	Disease
ZNF681	2	28	30	7.81	Disease
CCDC148	12	18	30	7.81	Disease
ZNF763	6	24	30	7.81	Disease
ATG16L1	22	8	30	7.81	Disease
PMCHL1	12	18	30	7.81	Disease
APOBEC3G	6	24	30	7.81	Normal
PSCA	8	22	30	7.81	Normal
LOC401317	14	16	30	7.81	Normal
RAB30	22	6	28	7.29	Disease
ZNF17	6	22	28	7.29	Disease
RASGEF1A	10	18	28	7.29	Disease
C6orf118	6	22	28	7.29	Disease
FLJ33630	16	12	28	7.29	Disease
TSPAN2	4	24	28	7.29	Disease
LOC100129195	4	24	28	7.29	Disease
PREX1	16	12	28	7.29	Disease
PDE1C	6	22	28	7.29	Disease
SP6	12	16	28	7.29	Normal
MFSD7	12	16	28	7.29	Normal
ERAP2	6	22	28	7.29	Normal
FAM83G	14	14	28	7.29	Normal
NDP	18	10	28	7.29	Normal
ANO4	10	18	28	7.29	Disease
RFTN1	26	2	28	7.29	Disease
FLVCR2	4	24	28	7.29	Disease
SYTL4	10	18	28	7.29	Disease
PLEKHG3	10	18	28	7.29	Disease
LOC100132301	12	14	26	6.76	Disease
HSD11B1	6	20	26	6.76	Normal
TMEM200A	4	22	26	6.76	Normal
SPSB2	16	10	26	6.76	Disease
LOC283378	8	18	26	6.76	Disease
FLJ45244	10	16	26	6.76	Disease
TMEM136	16	10	26	6.76	Disease
CCDC71	22	4	26	6.76	Disease
C4orf12	8	18	26	6.76	Disease
DSCAML1	10	16	26	6.76	Disease
SOX2	16	10	26	6.76	Normal
CCL15	2	24	26	6.76	Disease
C17orf103	8	18	26	6.76	Disease
PCDH20	4	22	26	6.76	Normal
RGL3	8	18	26	6.76	Disease
FCGR3A	2	24	26	6.76	Disease
OBSCN	14	12	26	6.76	Disease
CDH24	6	20	26	6.76	Disease
PLA2G7	6	20	26	6.76	Normal
CAPN9	10	16	26	6.76	Normal
SCARNA17	4	22	26	6.76	Normal
AASS	8	18	26	6.76	Normal
SLA	6	20	26	6.76	Normal
RUNX1T1	22	4	26	6.76	Normal
CDA	8	18	26	6.76	Normal
EPHA4	8	16	24	6.24	Disease
LOC339352	14	10	24	6.24	Disease
ELFN1	12	12	24	6.24	Normal
LRRC17	12	12	24	6.24	Normal
ARHGAP9	2	22	24	6.24	Normal
PIP5K1B	20	4	24	6.24	Normal
P2RY1	20	4	24	6.24	Normal
FLJ16734	12	12	24	6.24	Normal
LOC387763	16	8	24	6.24	Normal
FAM49A	4	20	24	6.24	Normal
DHDPSL	6	18	24	6.24	Disease
LOC203107	8	16	24	6.24	Disease
LOC285014	16	8	24	6.24	Disease
LDOC1	6	18	24	6.24	Disease
SLC1A3	12	12	24	6.24	Disease
MPND	16	8	24	6.24	Disease
LOC100129406	8	16	24	6.24	Disease
CHRNA10	8	16	24	6.24	Disease
TOMM40L	16	8	24	6.24	Disease
NUDT4	16	8	24	6.24	Disease
C21orf58	4	20	24	6.24	Disease
MUC13	12	12	24	6.24	Disease
CFHR2	6	18	24	6.24	Disease
GJB6	16	6	22	5.71	Normal
FYB	8	14	22	5.71	Normal
SPRR2D	2	20	22	5.71	Disease
SLC25A2	4	18	22	5.71	Disease
AMZ1	16	6	22	5.71	Disease
FBXL15	20	2	22	5.71	Disease
VENTXP7	2	20	22	5.71	Disease
GLI2	12	10	22	5.71	Disease
	12	10	22	5.71	Disease
HIST1H3D	2	20	22	5.71	Disease
LOC221272	14	8	22	5.71	Disease
SAMD11	16	6	22	5.71	Disease
HORMAD1	12	10	22	5.71	Disease
LYPD6	10	12	22	5.71	Disease
BHLHE22	8	14	22	5.71	Disease
MMD2	10	12	22	5.71	Disease
C1orf201	16	6	22	5.71	Disease
C12orf61	6	16	22	5.71	Disease
LOC100130275	12	10	22	5.71	Disease
GPC2	14	8	22	5.71	Disease
ALDH1L1	16	6	22	5.71	Disease
hCG_1776047	6	16	22	5.71	Normal
RGMA	16	6	22	5.71	Normal
ALDH1A1	4	18	22	5.71	Normal
ZNF493	12	10	22	5.71	Normal
TNFSF13B	8	14	22	5.71	Normal
TMEM86A	10	10	20	5.19	Disease
WHAMM	10	10	20	5.19	Disease
ZNF416	16	4	20	5.19	Disease
SENP8	16	4	20	5.19	Disease
ALPL	6	14	20	5.19	Normal
	2	18	20	5.19	Normal
C3orf55	4	16	20	5.19	Normal
ZFPM1	16	4	20	5.19	Disease
STH	10	10	20	5.19	Disease
HAUS8	16	4	20	5.19	Disease
LOC100216546	10	10	20	5.19	Disease
C14orf64	8	12	20	5.19	Disease
FLJ90757	12	8	20	5.19	Disease
C9orf71	12	8	20	5.19	Disease
ING5	8	10	18	4.67	Disease
LCN12	8	10	18	4.67	Disease
NLRC5	2	16	18	4.67	Disease
TMCO7	10	8	18	4.67	Disease
CLYBL	16	2	18	4.67	Disease
AGPHD1	12	6	18	4.67	Disease
PDE10A	4	14	18	4.67	Disease
P704P	16	2	18	4.67	Disease
KHDC1	8	10	18	4.67	Disease
VASH1	16	2	18	4.67	Disease
EPHA10	4	14	18	4.67	Disease
MAPT	10	8	18	4.67	Disease
C3orf48	4	14	18	4.67	Disease
DPP9	16	2	18	4.67	Disease
GLIS3	16	2	18	4.67	Disease
	8	10	18	4.67	Normal
LEF1	16	2	18	4.67	Normal
NOXA1	4	14	18	4.67	Normal
PRKXP1	6	12	18	4.67	Normal
SAMSN1	10	8	18	4.67	Normal
	2	16	18	4.67	Normal
GATSL3	4	12	16	4.14	Normal
PDE8B	14	2	16	4.14	Disease
ARPM1	14	2	16	4.14	Disease
DMRT2	12	4	16	4.14	Disease
FGF11	10	6	16	4.14	Disease
CRISPLD1	8	8	16	4.14	Disease
DPY19L2	6	10	16	4.14	Disease
ACR	2	14	16	4.14	Disease
ZNF645	2	14	16	4.14	Disease
MFGE8	2	14	16	4.14	Normal
MS4A7	4	12	16	4.14	Normal
IL11RA	6	8	14	3.62	Normal
GCNT3	4	10	14	3.62	Disease
ITGA1	2	12	14	3.62	Disease
GSTA2	2	12	14	3.62	Disease
PRR12	6	8	14	3.62	Disease
THBS3	6	8	14	3.62	Disease
ISM2	6	8	14	3.62	Disease
FLJ32255	8	6	14	3.62	Disease
MYRIP	12	2	14	3.62	Disease
AXIN2	6	8	14	3.62	Disease
ZNF818P	6	8	14	3.62	Normal
LOC729870	12	2	14	3.62	Normal
PGCP	12	2	14	3.62	Normal
CCNB3	2	10	12	3.1	Disease
CCDC136	6	6	12	3.1	Disease
ZNF816A	2	10	12	3.1	Disease
	10	2	12	3.1	Disease
FLJ33360	4	8	12	3.1	Disease
RNF150	6	6	12	3.1	Disease
SLC3A1	8	4	12	3.1	Disease
RTN1	2	10	12	3.1	Disease
ACE2	8	4	12	3.1	Normal
LOC729400	2	10	12	3.1	Normal
PM20D1	4	8	12	3.1	Normal
SARM1	4	6	10	2.57	Normal
DLL1	8	2	10	2.57	Normal
KIAA1257	2	8	10	2.57	Disease
ALPK2	2	8	10	2.57	Disease
PLXNB1	8	2	10	2.57	Disease
MOCS1	8	2	10	2.57	Disease
LOC152586	6	2	8	2.05	Disease
ZNF509	4	4	8	2.05	Disease
LOC285696	6	2	8	2.05	Normal
WDR64	2	6	8	2.05	Normal
FLJ42953	2	6	8	2.05	Disease
ZNF703	4	2	6	1.52	Normal
RERG	2	4	6	1.52	Normal
FAM176A	2	2	4	1.0	Disease
XCL2	2	2	4	1.0	Disease
TMEM171	2	2	4	1.0	Normal
C9orf84	2	2	4	1.0	Disease
TCL1B	2	2	4	1.0	Disease

